,Mean prediction CI,MAPE,Total raw effect,Correlation coefficient,Rank correlation,Fisher exact test p,Log likelihood
SAAS,3.529351585933167,0.5036269622121493,-0.9949997278446553,0.8323504351303858,0.7974557455745575,1.6101750385203536e-07,-280.2417255292843
GP,5.705024646881724,1.5993401456119445,-0.9949997278446553,0.5542393941680174,0.6323672367236722,0.00030062717338462283,-335.84329845830104
SAAS,3.684373287207631,0.6099452538553859,-0.9949997278446553,0.850217302447972,0.8110171017101708,1.1110504074156067e-09,-277.636540832674
GP,5.728858302445625,1.6117272446587778,-0.9949997278446553,0.5631712980993011,0.6515571557155715,6.034174228539732e-05,-336.1716478229482
SAAS,3.5605903217357673,0.57437354556526,-0.9949997278446553,0.853150784379991,0.8155535553555355,1.1110504074156067e-09,-276.4432555580975
GP,5.751832758064379,1.6264008733702895,-0.9949997278446553,0.524227528980983,0.6308070807080707,6.034174228539732e-05,-335.8859416358699
SAAS,3.6635737872077407,0.5836639446328402,-0.9949997278446553,0.851831661813601,0.8203900390039003,6.517576596701336e-11,-277.7524273573362
GP,5.721691748348771,1.6444903922078435,-0.9949997278446553,0.5310307433490624,0.6353675367536753,6.034174228539732e-05,-338.6446100151232
SAAS,3.6906006667844395,0.5840330506510933,-0.9949997278446553,0.8733512729486396,0.8425562556255625,1.1110504074156067e-09,-277.6252167573266
GP,5.228188416181637,1.5878422584874738,-0.9949997278446553,0.46676227660464276,0.5665886588658865,0.00030062717338462283,-339.8093069509355
SAAS,3.7885092556287905,0.5988814648778682,-0.9949997278446553,0.8677273649787086,0.8267386738673866,1.4940797732355664e-08,-279.55586951369133
GP,5.217736174505933,1.5850190529579669,-0.9949997278446553,0.457290005468753,0.547074707470747,0.0012617688977815292,-340.0847674807156
SAAS,3.5379789488528206,0.5877269548114886,-0.9949997278446553,0.8622852792198646,0.8218421842184218,1.1110504074156067e-09,-278.7228190888712
GP,5.186922137571432,1.5398201501860356,-0.9949997278446553,0.46158487207474724,0.5538913891389138,0.0012617688977815292,-338.9779087654502
SAAS,3.6149123388938644,0.6032310991998291,-0.9949997278446553,0.8557748299883517,0.8131773177317732,1.409152199927875e-06,-277.8290976691712
GP,5.186541742849667,1.5214459390892952,-0.9949997278446553,0.46681847040809327,0.5579237923792378,0.004492273027004434,-338.5936528514929
SAAS,3.4943066227781885,0.5378135406719212,-0.9949997278446553,0.8652404979238036,0.8154095409540952,1.4940797732355664e-08,-276.4434734901781
GP,5.173013772087205,1.5167224631655716,-0.9949997278446553,0.453369736115033,0.5319651965196519,0.004492273027004434,-338.6246970957606
SAAS,3.3856110893035765,0.5283444421258475,-0.9949997278446553,0.8562231880550484,0.8107290729072906,1.6101750385203536e-07,-277.9894609460414
GP,5.17127406858516,1.5272061903230254,-0.9949997278446553,0.4514399559777408,0.5301410141014101,0.004492273027004434,-338.5325466607628
SAAS,3.4933449788876816,0.5440466673689232,-0.9949997278446553,0.8381267951951078,0.7943474347434742,1.6101750385203536e-07,-283.0388789217673
GP,5.161565509524345,1.5184926108289158,-0.9949997278446553,0.43642124015623945,0.5035583558355835,0.004492273027004434,-338.2153199181002
SAAS,3.4470563585804235,0.6386535052580428,-0.9949997278446553,0.8535350152058236,0.8139333933393338,1.409152199927875e-06,-277.0243569488743
GP,5.160038628261354,1.515772108027806,-0.9949997278446553,0.44785321040466797,0.5037503750375036,0.013655808285520387,-336.14840594594614
SAAS,3.342715249884614,0.5801190008063642,-0.9949997278446553,0.8329750105340923,0.7903390339033901,1.6101750385203536e-07,-279.6074217729677
GP,5.115994674798168,1.4675184440338827,-0.9949997278446553,0.45317615357294866,0.5111791179117912,0.004492273027004434,-335.19089776063305
SAAS,3.3771929958017535,0.5556385666616651,-0.9949997278446553,0.837270428392982,0.8040204020402041,1.4940797732355664e-08,-279.7492242757196
GP,5.062554071056347,1.4471623199506747,-0.9949997278446553,0.4523478157853924,0.49642964296429637,0.013655808285520387,-334.7300092198145
SAAS,3.3671271035173707,0.6284827255999492,-0.9949997278446553,0.8339430125538194,0.7833423342334233,1.409152199927875e-06,-280.9101822092405
GP,5.085393166332263,1.4593673831294844,-0.9949997278446553,0.4485472721435694,0.4884128412841284,0.013655808285520387,-335.01343899863343
SAAS,3.4388409453006443,0.6143126496743512,-0.9949997278446553,0.8435118591467443,0.7932433243324332,1.409152199927875e-06,-277.95604333604433
GP,5.131033293158253,1.4789850455115965,-0.9949997278446553,0.4550657154674672,0.48193219321932185,0.013655808285520387,-335.61734858277214
SAAS,3.510303042333786,0.7068678615883032,-0.9949997278446553,0.818968451522402,0.777989798979898,1.409152199927875e-06,-282.5023898293583
GP,5.1341414400690155,1.4949383514111536,-0.9949997278446553,0.4666404465872107,0.5047824782478247,0.0012617688977815292,-335.2886541896651
SAAS,3.318302591669548,0.6883542592956076,-0.9949997278446553,0.8236363573937677,0.7743654365436544,1.409152199927875e-06,-282.78136203162114
GP,5.090742625751322,1.4758848648617073,-0.9949997278446553,0.43373041133871,0.488064806480648,0.004492273027004434,-334.65417983937766
SAAS,3.6477074035824724,0.7366777416409712,-0.9949997278446553,0.8080551399493902,0.7648244824482446,1.0126990969967781e-05,-285.3041534129097
GP,5.116782468369549,1.4885650440738067,-0.9949997278446553,0.4422262966795978,0.5035583558355835,0.004492273027004434,-334.62667641205815
SAAS,3.1765692174941482,0.6878555983717297,-0.9949997278446553,0.8168002409250978,0.7598559855985598,1.6101750385203536e-07,-283.5446944320283
GP,5.05149712775972,1.4751467955290467,-0.9949997278446553,0.42162635243486896,0.48660066006600655,0.0012617688977815292,-334.90890382214303
